key,source,target
/9AF789E24B5A19D38365BB91A18612CC,+,+
/2A3FFDFD4F1B7B424A8C6AA16FBE25BE,-,—
/837E76F643D9905A817402AD77CF342C,-,—
/518A28E34E5CA2883CD177A35CC92B77,0,0
/360A7C91412035E91A1397A940EB1869,1,1
/C9B51895492EE33DFEC6E8B7269EEA1E,2,2
/AE82ED1D46E04C57804C5FB3FFE1177D,3,3
/45C8ACCA42D87AB4E1B946840CFFA78C,4,4
/9FF314A54BB19E97D4A18B808612CBA2,5,5
/6CC2A2D84573298DF4B94FA4AC4C61CC,6,6
/167ECFB14DE39303EFFCC6B714CB4243,7,7
/7E8F0F514BAFC8CA1EC7D3A056DAF667,8,8
/5E63625D4B75A18B56A3B8B5B5BA1DA9,9,9
/27AC7FFB423B9C5385650AAFC3396ABE,====,====
/343436F8465452C8CB78FD8706F94149,======,======
/F2991B114E07EC9D94222288DF74CA0E,======,======
/BAB70A554DE21787A5FF8DBC8DF18E84,========,========
/A225CD2843BA199B577CE6A979815AF1,================,================
/713113E44C46CBE19F016EAA69F2D0B3,====================,====================
/8115B90B4A157B52B9E44B9957BF706C,====================,====================
/04B929294005F58762E5838E7138DFD9,A Windshield Wiper appears to have become stuck.,雨刷器似乎卡住了。
/0A7619244F5B0B0AFB918CB6F509EBAB,A passenger door has become stuck. Identify and manually operate the door to unstick it.,一扇客舱车门卡住了。找到该车门并手动操作以将其释放。
/B649F38D406E5C38CE7913AD5B601450,A saloon lighting circuit breaker has tripped. Check the fuse panel and reset the Main Lights MCB.,客舱照明断路器跳闸。检查保险丝面板并复位主照明微型断路器。
/676DB3304DA96C4D2763ECA9ADBD3E0A,A.W.S (Fuse),自动列车警报系统（保险丝）
/7CDB3FE845DC21C0844697A512B64161,AWS,AWS
/ABB8BFC3407BFB72959B10938266132C,Accept,接受
/6263D047496D3957BE94B7B5D759A110,An engine has shut down without warning. Check the fuse panel for a tripped Local Control MCB.,发动机在没有预警的情况下熄火。检查保险丝面板是否有本地控制微型断路器跳闸。
/049F55594E063E6D56E25BB49E549188,An exterior lights circuit breaker has tripped. Check the fuse panel and reset the End Lights MCB.,外部照明断路器跳闸。检查保险丝面板并复位尾灯微型断路器。
/2024218343DBB11971085BB4235211AF,BREL / ABB York 1992 - 1993,BREL / ABB 约克 1992 - 1993
/67AAA9344071CA0A4F1721A8228C373B,BREL / ABB York 1992 - 1993,BREL / ABB 约克 1992 - 1993
/EB69C71243CD08ADC749B49B2DCC7C72,Blind,遮阳帘
/5201253D47A200F715A6519F622DFE1A,Brake (Fuse),制动（保险丝）
/821055E5481C40C0C3805D96296D5EF5,Brake Hold,制动保持
/FFC65A6D45882F40667AFA85FAC0A533,Brake Sanding,制动撒砂
/2E53AC6648EC46E6D96C879BF3188C52,Braking 1,制动 1
/E21625D442ED26C988654698B7DF4CB3,Braking 2,制动 2
/4072402A4DF48AE98442968C76725DEC,Brighter,更亮
/55C37CD545233D9DE8EFC7822367F225,Button +,按钮 +
/1438498F4067E723689AA99F05CEE570,Button -,按钮 -
/36A695554E6D374F688A4781CDD942EF,Button 1,按钮 1
/BA809593409F483375DF2EBD44693EFF,Button 2,按钮 2
/8305A5D945BC388D692B15B082645226,Button 3,按钮 3
/A4642E6C40105385F0349E88B82137D9,Button 4,按钮 4
/14D1951440BC8D4E204A4586FBC1B334,Button 5,按钮 5
/B2D14ED9425E18CAD19AF9977A7DD04C,Button 6,按钮 6
/0A207E96434D298E9B65F5B16B646D24,Button 7,按钮 7
/934923B04F584FC49477918885A69667,Button 8,按钮 8
/DE60D32546C49E724EA6758162A8A74B,Button 9,按钮 9
/3FF2A358458987F2F0438D8407EFF822,Button OK,按钮 确认
/A5164EB042F2ED09A3AF11A3652452D6,Cab Heater (Fuse),司机室加热器（保险丝）
/76F457314439E11D78C421AFB0C4AF07,Cab Light,司机室照明
/98D75C554291AD8B0C761F83018507E4,Cab Light,司机室照明
/D54D736B4EFE9A30573750BBD9269904,Cab Window,司机室车窗
/28A3A2AE4485BB0203BDD28DFCF23668,Cancel,取消
/62D7EA274E380F695E897C9AE518A032,Class 165 GWR,GWR 165/1 型
/AE4FF2C84A55395C7FFA688577BCB495,Class 165 GWR 2 car,GWR 165/1 型 2节编组
/CE0CF26D4BA77B4816AB9591F2E84C19,Class 165 GWR DMSL,GWR 165/1 型带司机室和行李舱的动车（DMSL）
/86EA37BA41B06677BAED25808FE38A47,Clear,清除
/3396ABF0443F0C39216C10894434EB57,Climate Control,气候控制
/F0B690A2485CF57B54A4A28DFEEFE064,Clipboard Light,写字板照明
/1695B89147D926DA630FA2A937ED5389,Close,关闭
/3879FD3E4595D5C75C1DABA993DC35A7,Close,关闭
/AC9C4B9F46C5C826B7006F8A363E2C7C,Close,关闭
/C2D9E5C44A353281D01601AFB8C45213,Close,关闭
/202DF4954DBB81A7ED0CF480AA93BDDF,Closed,关闭
/524C35174888323582FC74B6CE5247C5,Closed,关闭
/6F539E1E4104D6C8A850B3925669EE5A,Closed,关闭
/EDBFD7604F268C340BD0CEA0F4DE76E3,Closed,关闭
/6348FA6545222D3B1D188C81934F62B0,Compressor Speed Up,压缩机加速
/40D8D30E47C7FDDD6E819FBDDB5BFE50,Confirm,确认
/041FCFDF4B55213428C80981C0667497,Contact Signaller,联系信号员
/4B7A4AA74BF8EFD6309304ACC4F44155,Couple,连挂
/87A24ADB49FC3ED3A2022DA441BBA99D,Coupler,车钩
/93595009448F0FEC76FA1AA67C84482E,Coupler,车钩
/AE577DCA4E1BEE268B21ECA2C417E89E,DMCO,DMCO
/DA91BA0249D1CD17DE5F2896F6440254,DMSL,DMSL
/F7E36162492AEE0BCC38329118C63B9F,DRA,DRA
/A3D3EC3F4B3892AB2111DEB88FA38EEC,DSD Isolation,司机警惕按钮隔离开关
/EF62180F4B04699A5BEEABA778326C84,DSD Pedal,司机警惕按钮踏板
/495B5B0E4CDACC4BF87D3EB88C2D433C,Day,日间
/CD88187F4C2685402D23979FEE11FADE,Day,日间
/420580F44FD92A4E047D56A536D47889,Decrease Brightness,降低亮度
/481AE16A47BE5EBFE77D5FAC107B3379,Decrease Volume,减少音量
/76FACCCC446B3F0C088F268F68D4BA95,Destination Next,下一终点站
/27CE9B6947BFDB1906E93286A410445E,Destination Previous,上一终点站
/9DD8F65C40C233C2385C9391CE8EDDCD,Diesel Hydraulic Multiple Unit,液力传动内燃动车组
/CA595DB5497F04D4E3DD65BCF29931B9,Diesel Hydraulic Multiple Unit,液力传动内燃动车组
/711F610244DC57B3290FAE83D2D51A7E,Dimmer,调光器
/34D280F14BD6EC45CF54E9B62BAE6EBC,Door,车门
/873754164C2180DECA2A8DA860DECCB0,Door,车门
/AF331A844F924D14AB7A44BC4289B1B7,Door,车门
/CE7B551F418CA1CE8B3BBCA215B7357F,Door,车门
/E24FF8C34D0C554AA2D9238C4303BAFB,Door,车门
/8C3883C34199605008BB658D5129580A,Door ,车门
/F3C38A274F004E5D15F2AFAE96767F68,Door Control (Fuse),车门控制（保险丝）
/7F6F154748A0600538CB1DA89DE2B203,Door Supply (Fuse),车门供电（保险丝）
/F13C392640176E79107F0DB8721A5ED5,Driven 100 Miles!,驾驶100英里！
/988A24804544BAB913EFD38C1E7B2F0A,Driven 1000 Miles!,驾驶1000英里！
/5C76CA51454C2D6AC9C614B33BE1C330,Driver,司机
/BB41465343A99DAB07CA6DBA982F93DE,Earth (Fuse),接地（保险丝）
/3BDEDA034E0C2C5ADD40A682EBC9EADF,Emergency Brake,紧急制动
/A681EBC44E6834CD9633B8888E3148EB,Emergency Brake,紧急制动
/9953581246AA947C8AB2D4836E84E5C2,Emergency Brake Supply,紧急制动供电
/D76F9AF642E82A1F9062DF8C996B2EB7,Emergency Lights (Fuse),应急灯（保险丝）
/2DE0982F4567C8782A348DAA4042ED92,End Lights 1 (Fuse),端部照明 1（保险丝）
/DA3C35F2428C748D1F6A1892125C61A7,End Lights 2 (Fuse),端部照明 2（保险丝）
/BB7CA9824CF04E41101D96A2BCD13657,Engaged,接通
/094D5CA2404C0DF1E44F88AEBE600B27,Engine Start,发动机启动
/98058224421F5976AD037184A37866C2,Engine Start,发动机启动
/5C25B5D64DD375D7EAAFAEAE89C1BA49,Engine Stop,发动机关闭
/E539E328410599C1D3D31F98C8D7731B,Engine Stop,发动机关闭
/CAC5E9384B552157D4DB2EAD347693C3,Fan,风扇
/07689FA64772E6F0A25C72922D257C50,Fault Indicator (Fuse),故障指示灯（保险丝）
/5E56D82D47F430BF40DBA1A1885C29A1,Fault Light Brighter,故障灯变亮
/C11C318E487E1D92F5DB92B2A610FF8A,Fault Light Dimmer,故障灯变暗
/00FBEC3341F423D88C84E9AFFFBD2E29,Forward,前牵位
/F2EC81B145728A2A022968B514927938,Fuel Cap,燃油箱盖
/CC5776B442C8CDEF2D88ADB96C49EE54,Full Service,全服务制动
/8181F68342038E51D0CE0EA9EB9B4315,GSM-R Fuse,铁路全球移动通信系统（GSM-R）保险丝
/060B14A8454252A00BB0E186A747C3D8,GWR Class 165,GWR 165型
/E56211D647ABFBC8939FA7BC84C51033,GWR Class 165,GWR 165型
/6A0493EA45DAEE6E61F66FB41900169A,GWR Driver,GWR 司机
/7D0F57934D6B41CB088EEE9BEDA63EE3,GWR Driver,GWR 司机
/152BBB1F4C47D98CD578C69B3B3F9730,Gauge Dimmer,仪表盘调光器
/AD685DB74FA77FD14FEA128ABAA0D062,Gauge Dimmer,仪表盘调光器
/B77419CE4D12C9C4CF5118A1D7B93A22,Gauge Dimmer,仪表盘调光器
/DA06F6BB475B670898565C970BD42473,Gauge Dimmer,仪表盘调光器
/B9DFF824427569BAC6821A8E964DC27E,Global System Mobile - Railway,铁路全球移动通信系统
/274C0A4B49C6F5DF7FAC8E9107B83CE4,Guard Buzzer,乘务员蜂鸣器
/46D4FCAA4FC81B9303261E94D6DF0248,HTG (Fuse),HTG（保险丝）
/BFDEB5D84E3D1E6DFDD32EACE8F5503F,Hazard Lights,危险报警闪光灯
/65FA9C9F4965383918281D80F8B9D0A9,Headlights,前照灯
/98C5E65D4B7A62CDCC064AAFEEC0AA21,Headout Left,向左探头
/DEE3985943D67603EA28AB85B1E0072C,Headout Right,向右探头
/9D0DA7D1429BDCF933B663B2C1C4B8C9,High,高
/66E666DC435A03A0414DF18434015ABC,Increase Brightness,增加亮度
/73E14F5446C4E9FD1B2BA2AB898FB2B3,Increase Volume,增加音量
/9647B17545BD04772B1C2FB27424B6B7,Int Doors (Fuse),内门（保险丝）
/FF13AC9C45CAA2F9CED240AD1E9092C2,Isolated,隔离
/98B592D9412BD88500DAFDAABC396E6B,LH Screen (Fuse),左侧屏幕（保险丝）
/D128B5684BF1304431D5208FADFD3E86,Local Control (Fuse),本地控制（保险丝）
/731CE09B4E67A34FC767899355133D22,Locked,已锁闭
/89B607D543F3F3F4BD085A945C0F117E,Locked,已锁闭
/45FDFB7C454FF4F3F08FBFB386053289,Locked ,已锁闭
/C9F8E06E498A254283C887812B84D66C,Low,低
/6623BE524AFB85DEA1EFE792E042E6E9,MR,主风缸
/6C7D3B9E4DA39D171C2E87B1E7471286,Main Lights 1 (Fuse),主照明1（保险丝）
/FB88BF8B49CAA8118B89E28E23477C1E,Main Lights 2 (Fuse),主照明2（保险丝）
/69C523BC4833F76760A4B2BB7E37DE18,Markers,标志灯
/70C2121C468293CEB0100F870164AB4F,Markers,标志灯
/D84E064C418CECFF8D2C09AD144A5D2F,Markers,标志灯
/BA7DD1D44E0D2BCDF26115B167E3480D,Master Key,主控钥匙
/1D7D7B7E4FA38897B0F044BB9FB870DA,Max,最大
/5C82BB9A4BCC873F91094EA5975CACED,Min,最小
/30B5B9FB4D3EC6789844D7A005AB2E67,Neutral,中立
/4CDD2BD54695166E2F6950823857E7B5,Night,夜间
/E137FF2C473AE1E41E5A8C9C2E9D124D,Night,夜间
/C480749F489AC02014D68785F0228CA7,Normal,普通
/086BDBB146521662488E5A8349F23F36,Off,关闭
/2FF398E743918FED98C378A8F38457BD,Off,关闭
/8A22ECC34138E0657A6A279E3960F6B6,Off,关闭
/C3F4933D4EEEB23A4AADFD88830AB3AB,Off,关闭
/CF2E4D044762B6F68DF770B08904CCA3,Off,关闭
/D15F66754A8DE0A6E1A89FB880796AB3,Off,关闭
/E7670255471BB68E687D55B2A78A0E0A,Off,关闭
/0EF7B5584C40B3865B2F3EBDDE813FE4,On,打开
/1CD226C34ACFC027F3B997B797831120,On,打开
/557A37654325C31604C4B0B25A106803,On,打开
/D23837FF4ED8EFC0A52BF8B6D16CB82E,On/Off,开/关
/CBCC6109482D9CDD63E44BBD6E891DCC,One of the Diesel Engines has stalled. It will need restarting.,其中一台柴油发动机已熄火。需要重新启动。
/110F8D2B4A966289F75A8297299BEC2A,Open,开
/D6FF2BE145ADB9F13415A4804AA6C4BD,Open,开
/4D1DAC63455C3C2E7E4997B0BEDF7BB3,Opened,已打开
/C63D011348A7F923C182B7981B8323CC,Opened,已打开
/DA25EF5E4BFB21761CE5989546A8B9C6,Opened,已打开
/46DB48BB4599B675A29FFE931C0A1FCA,Override,隔离开关
/86F10F10458B59BD157B0FB0334F0562,Override,隔离开关
/4F535371482D113225892FAE5635D586,P.I.S (Fuse),旅客信息系统（保险丝）
/8D5AA0C14E177E30267B43BD73793387,Passenger Comms,旅客通信
/507B06CF4190CAEBFBC51189B5C83DF0,Passenger Emergency Override,旅客紧急制动旁路
/1C6C11FC400BFC3842DE94BD61014E4F,Perkins 2006TWH,珀金斯 2006TWH
/8D3DC7D94D778490A3B536BE0367929B,Perkins 2006TWH,珀金斯 2006TWH
/19B671AE4B77FD9966CC1FB513393414,Pressed,已按下
/22E9225F4530A41A95207ABB23A62C29,Pressed,已按下
/3A7C43E04E7C9AA4F257FF964F3ACB18,Pressed,已按下
/4296253E48C82196D0DF44B9567DC78C,Pressed,已按下
