key,source,target
/74181EE147023EAE155881B7AC19AFA5,115.290,115.290
/8B86AA9B4E0D2AE8F0EEC0A9B37944D0,115.383,115.383
/841243C647B1A9AE1AB15A9E5A4266A5,"1260 to depot, hi! Where are we going?",1260 次至机务段，你好！我们要去哪里？
/DAA1C47B4B65D6D419E517BA0966FD43,"1260, I have left the second coach in the hall, will we do refueling today?",1260 次，我把第二节车厢留在库里了，我们今天加油吗？
/0940AE844A380C6D99650183917D4229,15x Eas,15节 Eas
/040A0D994EF72D23DD11689A640E4824,15x Roos [Wood],15节 Roos [木材]
/55DD31864444D64A1CA9B182A55EB1D1,1x Eas,1节 Eas
/7A124FDD4BC4907A1C31D7A6372B2F36,1x Eas [Coal],1节 Eas [煤炭]
/AD9CB6934B45D103F90382A25EC8B632,1x Eas [Wood],1节 Eas [木材]
/0B281F6745491F3A4F1592A6A6E1EBD6,1x Habbiins,1节 Habbiins
/9AE1AD1845092EC3181B1EAD22984EEC,1x Roos [Wood],1节 Roos [木材]
/7DEF37A042471AAE650B48B462C414BF,20x Roos [Wood],20节 Roos [木材]
/1CBC06FF4441A7A01843FF9854A9D1C9,2x CD 750 + 10x Roos [Wood] + 5x Eas [Coal] + 3x Zaes,2x CD 750 + 10节 Roos [木材] + 5节 Eas [煤炭] + 3节 Zaes
/4BB8F33A48E8815A8E8856B85562AE0D,2x CD 750 + 10x Roos [Wood] + 5x Eas [Coal] + 3x Zaes,2x CD 750 + 10节 Roos [木材] + 5节 Eas [煤炭] + 3节 Zaes
/644D926346020F068F4936A6083149FB,2x CD 750 + 10x Roos [Wood] + 5x Eas [Coal] + 3x Zaes,2x CD 750 + 10节 Roos [木材] + 5节 Eas [煤炭] + 3节 Zaes
/B51C4ED942EA71E23E068D89AD086913,2x CD 750 + 10x Roos [Wood] + 5x Eas [Coal] + 3x Zaes,2x CD 750 + 10节 Roos [木材] + 5节 Eas [煤炭] + 3节 Zaes
/3009EAF442C1906A4E55DE8AEAFA2442,2x CD 750 + 15x Roos [Wood],2x CD 750 + 15节 Roos [木材]
/9344729147CEADCE59E70C91DDEC8ADA,2x CD 750 + 15x Roos [Wood],2x CD 750 + 15节 Roos [木材]
/9438EB4B40B7FCC29A7BA7932A648A02,2x CD 750 + 15x Roos [Wood],2x CD 750 + 15节 Roos [木材]
