key,source,target
/2FA4F6F94D0439C232D615AFB066E95A,18c,18℃
/F038688F4F1FA73C4CE4B5B9A210B955,19c,19℃
/FE13BEB64EDE3997EF1EFEBA16C49362,20c,20℃
/36C5528B420388D54EC13099DA7EF543,21c,21℃
/D7CA5EEA468CBCEB4D7FC996ACA4774B,22c,22℃
/824F46004889C3B74B7B03BE953B71D2,23c,23℃
/8859714A49613CB4025FA6BC1692A4F0,24c,24℃
/2D3F5458486BE1AC9038709DEAF935E1,25c,25℃
/7516CF40416A6BE8AFFABE824F8A860C,26c,26℃
/0E0530A044683FAB9B72B4A8CB951447,27c,27℃
/86B58E914BA52DD8E5B9CAAF4C477EAE,6R 183 TD13H (EURO 11) Inline-6 4-stroke turbo-diesel,6R 183 TD13H (EURO 11) 直列六缸四冲程涡轮增压柴油发动机
/A30E62684AFA305C8BDF49B59F5006D8,6R 183 TD13H (EURO 11) Inline-6 4-stroke turbo-diesel,6R 183 TD13H (EURO 11) 直列六缸四冲程涡轮增压柴油发动机
/BB766EBF4D9FE37D1748ADA2CDA530C5,6R 183 TD13H (EURO 11) Inline-6 4-stroke turbo-diesel,6R 183 TD13H (EURO 11) 直列六缸四冲程涡轮增压柴油发动机
/F7FA94F149B222B20BB5F190A470288D,6R 183 TD13H (EURO 11) Inline-6 4-stroke turbo-diesel,6R 183 TD13H (EURO 11) 直列六缸四冲程涡轮增压柴油发动机
/F14242A347602368E3EDB28A35E525F5,====,====
/E6A57F874C0B999E6FADD894F0AFEDDB,======,======
/FEA36E444EBCD215C0DA7E96B8221972,======,======
/3C8CCC3549EE2D8C4FD6A6A2D0FF80F9,========,========
/952DA3A346BE4C4EB3893AAB92A8FB66,================,================
/0303D5C546BFB9BFEA799FB9813EB64E,====================,====================
/AE237164442572BBCE5518856EB5BB8C,====================,====================
/4A48910546D124A1C0FD838035302AA8,A Windshield Wiper appears to have become stuck.,雨刮器似乎卡住了。
/E6F028AB47C5DF3656EBF89D927A8AB5,A passenger door has become stuck. Identify and manually operate the door to unstick it.,乘客门被卡住了。请确认并手动操作该门以解除卡顿。
/069C952E45B68183E8A84A8C8E3D29C9,AC,空调
/677E616D41181B62DAF3F7A4086ED1E1,AC,空调
/45937C344223370FA6FE3EA0F3037235,AC Mode,空调模式
/984B95734A3AAF0FA4971C952C5CA39B,AWS,AWS
/7ED87FA7499ACAC108F1A58A3BB6B520,AWS Cut Out,自动列车警报装置隔离
/C66CA5F844E8ADCBD1728BBD05C2E5C6,AWS Reset,自动列车警报装置复位
/CBD0198E45E57FCCC31A08A36C8F9D6D,"AWS has forced a penalty brake, reset AWS and wait until penalty duration times out to begin taking power again.",自动列车警报装置触发惩罚制动，请复位自动列车警报装置并等待惩罚结束后再次尝试牵引。
/53B5AFCD4C6796E90D33A8A935F33C02,Active,激活
/7774EE84496B70E4B1085EAA5C786B4D,Active,激活
/34D85D6B41DD9435A491E3BF0DDD5731,Adtranz - Bombardier,安德兰茨 - 庞巴迪
/798E6E3B47CDE967EDF46AB1287FF91C,Adtranz - Bombardier,安德兰茨 - 庞巴迪
/7FC84E5B4EF38BC6669C6E97ABA6876A,Adtranz - Bombardier,安德兰茨 - 庞巴迪
/EC9FE316409A553F48E867A629395F4B,Adtranz - Bombardier,安德兰茨 - 庞巴迪
/1AB561994656881DF86FE7B694DB3A9A,BP,BP
/286AD7AD46089D540FFD3E8EC282CEA7,Blind,遮阳帘
/A5E057364E114AF4C7DDC4A0F2CEBA70,Blind,遮阳帘
/36E915D24BF8518374B679995F077923,Both,同时
/A30A77984DDAC3683F5AF5BA34BB2766,B{BrakeText},B{BrakeText}
/22A836364BFDAC27EEC4F0AFC85D02E1,Cab Door Close,司机室侧门关闭
/34829EF94B1D67F5605647AB7FD85A64,Cab Door Release,司机室侧门开启
/F640962640A0197E5E1D7CB2C996A2B3,Cab Door Release,司机室侧门开启
/26603C4A4733C860DB760FB3F0CDD6C4,Cab Lights,司机室灯光
/2CAFFE3545FEEFF74D6E0497EBC299F9,Cab Lights,司机室灯光
/827E279E4C20EA006D3D359C74B0C497,Cab Lights,司机室灯光
/1028B0F34B13CE10C18CDC836B41EB36,Cancel,取消
/FDF0A39347A34F6270B5C99EF922A559,Class 171 BR,英国铁路Class 171
