key,source,target
/2A700C6F42233A404C5876A07A971E1E,Climb Under,钻到下面
/30DBEC25498D2B886A91649647DB59BB,Climb Under,钻到下面
/3CA579234E4802DB98D9E3BD4BF60E54,Climb Under,钻到下面
/AF2F830249DA72A71634028797EDF297,Climb Under,钻到下面
/BD93911F4B1DC2A10C9FBEA60B4BDA3A,Climb Under,钻到下面
/DD4152974878EBA6915D1081E7B3BE9B,Climb Under,钻到下面
/F013590E40BB5E4491DD9DA6FBF01BDD,Climb Under,钻到下面
/FF3A92894B9BC0E27F78D39B4B3E8F6A,Climb Under,钻到下面
/D44750C14062BD4790A91DAD71D9B96C,G/P Lever,货运/客运制动转换手柄
/A744334C4233A7B27F297AB44DB8E057,Habbiins 344,Habbiins 344
/1D5F1CB94C346910895A1DA3D65236E9,Habbiins 344 CDC,Habbiins 344 CDC
/7F8E6D3E42404147A7E94CA5C26D399D,Stand On Step,站在踏板上
/FC7A312246CB7E9CB3ED9099B7E096E5,Stand On Step,站在踏板上
/5C7ACDA04B6216A19AB25684A6DF916F,Step (Back Left),踏板（左后）
/89CCDDDE41DB93666128409A3940B2DA,Step (Front Right),踏板（右前）
/168B731B457C2E04E5907EB51B7B3B2D,Train Sim World,模拟火车世界
