key,source,target
/0CDE1FB14FF0C6E3ACE62DBDC983462C," Lunch break’s over. After a relaxing stop beside the River Thames, it’s time to get back to work. Make your way back along the famous Marlow Donkey path, following the river towards Bourne End. A service is waiting there for you to take over, so head down the line, enjoy the scenery, and get ready to continue your shift.",午休结束了。在泰晤士河畔度过一段轻松的时光后，是时候回去工作了。沿着著名的马洛铁驴小径往回走，沿着河流前往伯恩安德。那儿有一班列车正等待你接班，所以请沿铁路线前行，欣赏沿途的风景，准备继续你的班次。
/73567E504D9E3D47C7F449AF6CD90D96,2A01 Windsor & Eton Central to Slough,2A01 温莎与伊顿中央 — 斯劳
/1BEF9EE341F54FD328D8FE90FC28B800,2A02 Windsor & Eton Central to Slough,2A02 温莎与伊顿中央 — 斯劳
/873823FB4CABEF552E7F46A3DBF7D0E5,2A03 Windsor & Eton Central to Slough,2A03 温莎与伊顿中央 — 斯劳
/EEC44789419BDEA8DC5413A43257E2C0,2A04 Windsor & Eton Central to Slough,2A04 温莎与伊顿中央 — 斯劳
/627097A44FDD08C1B21D9AA37016DF4E,2A05 Windsor & Eton Central to Slough,2A05 温莎与伊顿中央 — 斯劳
/BCF5DC564BF41998DFAD1F97F6B862E1,2A06 Windsor & Eton Central to Slough,2A06 温莎与伊顿中央 — 斯劳
/372AB10847FF56694EEE698EC559DCCD,2A07 Windsor & Eton Central to Slough,2A07 温莎与伊顿中央 — 斯劳
/6941B7D3470A21D0CC0422854A971AB3,2A08 Windsor & Eton Central to Slough,2A08 温莎与伊顿中央 — 斯劳
/E11ED2324DA17C42E5D123A8972023EE,2A09 Windsor & Eton Central to Slough,2A09 温莎与伊顿中央 — 斯劳
/15A78D0F4E2D312B318CB59154DBF9AD,2A10 Windsor & Eton Central to Slough,2A10 温莎与伊顿中央 — 斯劳
/B596FA774B2A257DC5E277AB868A3B50,2A11 Windsor & Eton Central to Slough,2A11 温莎与伊顿中央 — 斯劳
/2D0E9F7C443232125BF78AA217AC306F,2A12 Windsor & Eton Central to Slough,2A12 温莎与伊顿中央 — 斯劳
/AF04A51E495889DB4A96B886C8F2D9CE,2A13 Windsor & Eton Central to Slough,2A13 温莎与伊顿中央 — 斯劳
/51183E72458FFD7532A6A2BCB5524D9F,2A14 Windsor & Eton Central to Slough,2A14 温莎与伊顿中央 — 斯劳
/35411FD84C16D3640E26A6BD8FA70E40,2A15 Windsor & Eton Central to Slough,2A15 温莎与伊顿中央 — 斯劳
